Item,10 Wins,10-0 Run,Win at Diamond,Win with Enchanted,Win with Another Hero,Hero,Size,Column 12,Column 1,Column 13,Column 2,Column 3
Agility Boots,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Arken's Ring,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Bag of Jewels,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Bar of Gold,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Barbspike Warden,TRUE,TRUE,TRUE,FALSE,TRUE,Common,Medium,(The Bazaar) Mak Speedrun Spidermace% - YouTube,,,,
Biomerge Arm,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Blazehowl Warden,TRUE,TRUE,TRUE,FALSE,TRUE,Common,Medium,(The Bazaar) Match Boxing With The Reworked Legendary - YouTube,,,,
Blue Gumball,TRUE,TRUE,FALSE,FALSE,TRUE,Common,Small,,,,,
Bluenanas,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Broken Shackles,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Busy Bee,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Small,,,,,
Candy Mail,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Catalyst,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Chimeric Egg,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Chocolate Bar,TRUE,FALSE,FALSE,FALSE,TRUE,Common,Small,,,,,
Chunk of Gold,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Chunk of Lead,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Cinders,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Citrus,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Claws,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Clockwork Blades,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Coconut,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Colossal Popsicle,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Cosmic Amulet,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Cosmic Plumage,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Crusher Claw,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Medium,,,,,
Cryosleeve,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Darkstone Engine,TRUE,FALSE,TRUE,FALSE,TRUE,Common,Medium,(The Bazaar) Super Decay Idol 的笑容都没你的甜 - YouTube,,,,
Darkstone Focuser,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Dragon Heart,TRUE,TRUE,TRUE,TRUE,TRUE,Common,Medium,(The Bazaar) Driving In My Dragon Heart Core,(The Bazaar) Finally Getting A Torch Run - YouTube,,,
Dragon Whelp,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Dragon Wing,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Eagle Talisman,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Ectoplasm,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Epicurean Chocolate,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Ethergy Conduit,TRUE,FALSE,FALSE,TRUE,TRUE,Common,Large,,,,,
Exoskeleton,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Extract,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Eye of the Colossus,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Fang,TRUE,TRUE,FALSE,TRUE,TRUE,Common,Small,(The Bazaar) I'm over here gooping my flail I got goop on my flail right now. I'm goopy as flail man,(The Bazaar) Mak Speedrun Spidermace% - YouTube,(The Bazaar) We Smoking Fiery Darts - YouTube,(The Bazaar) Shots And Shurikens - YouTube,
Feather,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Flamberge,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Flamecoil Gem,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Forgotten God,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Small,,,,,
Friendly Doll,TRUE,FALSE,FALSE,FALSE,TRUE,Common,Small,,,,,
Frozen Bludgeon,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Genie Lamp,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Gland,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Green Gumball,TRUE,TRUE,FALSE,FALSE,TRUE,Common,Small,,,,,
Guardian Shell,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Gunpowder,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Harkuvian Launcher,TRUE,TRUE,FALSE,TRUE,TRUE,Common,Large,,,,,
Hot Springs,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Icebreaker,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Icewatch Warden,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Icicle,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Small,(The Bazaar) I'm Sorry Clawrence... - YouTube,(The Bazaar) Stelle Is Out! Lightning Rod is a Real Item Woah - YouTube,,,
Improvised Bludgeon,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Infernal Greatsword,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Insect Wing,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Junkyard Catapult,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Junkyard Club,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Junkyard Lance,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Large,,,,,
Junkyard Repairbot,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Knee Brace,TRUE,FALSE,TRUE,FALSE,TRUE,Common,Small,(The Bazaar) Pygdooley - YouTube,,,,
Lifting Gloves,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Magician's Top Hat,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Magma Core,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Magnifying Glass,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Maitoan Altar,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Makeshift Barricade,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Marble Scalemail,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Med Kit,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Mortal Coil,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Nanobot,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Necronomicon,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Neural Toxin,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Nullfrost Altar,TRUE,TRUE,TRUE,FALSE,TRUE,Common,Large,,,,,
Octopus,TRUE,FALSE,TRUE,TRUE,TRUE,Common,Medium,,,,,
Old Sword,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Pelt,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Proboscis,TRUE,TRUE,FALSE,TRUE,TRUE,Common,Small,,,,,
Red Gumball,TRUE,TRUE,FALSE,FALSE,TRUE,Common,Small,,,,,
Rocket Boots,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Rune Axe,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Salamander Pup,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
Scrap,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Small,,,,,
Scythe,FALSE,FALSE,FALSE,FALSE,FALSE,Common,Medium,,,,,
